nhb_p,tfn_agg_at,nhb_m,g,soc,ns,ca
14,1,5,1,2,5,2
14,1,5,1,3,1,1
14,1,5,1,3,1,2
14,1,5,1,3,2,1
14,1,5,1,3,2,2
14,1,5,1,3,3,1
14,1,5,1,3,3,2
14,1,5,1,3,4,1
14,1,5,1,3,4,2
14,1,5,1,3,5,1
14,1,5,1,3,5,2
14,1,5,2,1,1,1
14,1,5,2,1,1,2
14,1,5,2,1,2,1
14,1,5,2,1,2,2
14,1,5,2,1,3,1
14,1,5,2,1,3,2
14,1,5,2,1,4,1
14,1,5,2,1,4,2
14,1,5,2,1,5,1
14,1,5,2,1,5,2
14,1,5,2,2,1,1
14,1,5,2,2,1,2
14,1,5,2,2,2,1
14,1,5,2,2,2,2
14,1,5,2,2,3,1
14,1,5,2,2,3,2
14,1,5,2,2,4,1
14,1,5,2,2,4,2
14,1,5,2,2,5,1
14,1,5,2,2,5,2
14,1,5,2,3,1,1
14,1,5,2,3,1,2
14,1,5,2,3,2,1
14,1,5,2,3,2,2
14,1,5,2,3,3,1
14,1,5,2,3,3,2
14,1,5,2,3,4,1
14,1,5,2,3,4,2
14,1,5,2,3,5,1
14,1,5,2,3,5,2
14,1,5,3,1,1,1
14,1,5,3,1,1,2
14,1,5,3,1,2,1
14,1,5,3,1,2,2
14,1,5,3,1,3,1
14,1,5,3,1,3,2
14,1,5,3,1,4,1
14,1,5,3,1,4,2
14,1,5,3,1,5,1
14,1,5,3,1,5,2
14,1,5,3,2,1,1
14,1,5,3,2,1,2
14,1,5,3,2,2,1
14,1,5,3,2,2,2
14,1,5,3,2,3,1
14,1,5,3,2,3,2
14,1,5,3,2,4,1
14,1,5,3,2,4,2
14,1,5,3,2,5,1
14,1,5,3,2,5,2
14,1,5,3,3,1,1
14,1,5,3,3,1,2
14,1,5,3,3,2,1
14,1,5,3,3,2,2
14,1,5,3,3,3,1
14,1,5,3,3,3,2
14,1,5,3,3,4,1
14,1,5,3,3,4,2
14,1,5,3,3,5,1
14,1,5,3,3,5,2
14,1,6,1,1,1,1
14,1,6,1,1,1,2
14,1,6,1,1,2,1
14,1,6,1,1,2,2
14,1,6,1,1,3,1
14,1,6,1,1,3,2
14,1,6,1,1,4,1
14,1,6,1,1,4,2
14,1,6,1,1,5,1
14,1,6,1,1,5,2
14,1,6,1,2,1,1
14,1,6,1,2,1,2
14,1,6,1,2,2,1
14,1,6,1,2,2,2
14,1,6,1,2,3,1
14,1,6,1,2,3,2
14,1,6,1,2,4,1
14,1,6,1,2,4,2
14,1,6,1,2,5,1
14,1,6,1,2,5,2
14,1,6,1,3,1,1
14,1,6,1,3,1,2
14,1,6,1,3,2,1
14,1,6,1,3,2,2
14,1,6,1,3,3,1
14,1,6,1,3,3,2
14,1,6,1,3,4,1
14,1,6,1,3,4,2
14,1,6,1,3,5,1
14,1,6,1,3,5,2
14,1,6,2,1,1,1
14,1,6,2,1,1,2
14,1,6,2,1,2,1
14,1,6,2,1,2,2
14,1,6,2,1,3,1
14,1,6,2,1,3,2
14,1,6,2,1,4,1
14,1,6,2,1,4,2
14,1,6,2,1,5,1
14,1,6,2,1,5,2
14,1,6,2,2,1,1
14,1,6,2,2,1,2
14,1,6,2,2,2,1
14,1,6,2,2,2,2
14,1,6,2,2,3,1
14,1,6,2,2,3,2
14,1,6,2,2,4,1
14,1,6,2,2,4,2
14,1,6,2,2,5,1
14,1,6,2,2,5,2
14,1,6,2,3,1,1
14,1,6,2,3,1,2
14,1,6,2,3,2,1
14,1,6,2,3,2,2
14,1,6,2,3,3,1
14,1,6,2,3,3,2
14,1,6,2,3,4,1
14,1,6,2,3,4,2
14,1,6,2,3,5,1
14,1,6,2,3,5,2
14,1,6,3,1,1,1
14,1,6,3,1,1,2
14,1,6,3,1,2,1
14,1,6,3,1,2,2
14,1,6,3,1,3,1
14,1,6,3,1,3,2
14,1,6,3,1,4,1
14,1,6,3,1,4,2
14,1,6,3,1,5,1
14,1,6,3,1,5,2
14,1,6,3,2,1,1
14,1,6,3,2,1,2
14,1,6,3,2,2,1
14,1,6,3,2,2,2
14,1,6,3,2,3,1
14,1,6,3,2,3,2
14,1,6,3,2,4,1
14,1,6,3,2,4,2
14,1,6,3,2,5,1
14,1,6,3,2,5,2
14,1,6,3,3,1,1
14,1,6,3,3,1,2
14,1,6,3,3,2,1
14,1,6,3,3,2,2
14,1,6,3,3,3,1
14,1,6,3,3,3,2
14,1,6,3,3,4,1
14,1,6,3,3,4,2
14,1,6,3,3,5,1
14,1,6,3,3,5,2
14,2,1,1,1,1,1
14,2,1,1,1,1,2
14,2,1,1,1,2,1
14,2,1,1,1,2,2
14,2,1,1,1,3,1
14,2,1,1,1,3,2
14,2,1,1,1,4,1
14,2,1,1,1,4,2
14,2,1,1,1,5,1
14,2,1,1,1,5,2
14,2,1,1,2,1,1
14,2,1,1,2,1,2
14,2,1,1,2,2,1
14,2,1,1,2,2,2
14,2,1,1,2,3,1
14,2,1,1,2,3,2
14,2,1,1,2,4,1
14,2,1,1,2,4,2
14,2,1,1,2,5,1
14,2,1,1,2,5,2
14,2,1,1,3,1,1
14,2,1,1,3,1,2
14,2,1,1,3,2,1
14,2,1,1,3,2,2
14,2,1,1,3,3,1
14,2,1,1,3,3,2
14,2,1,1,3,4,1
14,2,1,1,3,4,2
14,2,1,1,3,5,1
14,2,1,1,3,5,2
14,2,1,2,1,1,1
14,2,1,2,1,1,2
14,2,1,2,1,2,1
14,2,1,2,1,2,2
14,2,1,2,1,3,1
14,2,1,2,1,3,2
14,2,1,2,1,4,1
14,2,1,2,1,4,2
14,2,1,2,1,5,1
14,2,1,2,1,5,2
14,2,1,2,2,1,1
14,2,1,2,2,1,2
14,2,1,2,2,2,1
14,2,1,2,2,2,2
14,2,1,2,2,3,1
14,2,1,2,2,3,2
14,2,1,2,2,4,1
14,2,1,2,2,4,2
14,2,1,2,2,5,1
14,2,1,2,2,5,2
14,2,1,2,3,1,1
14,2,1,2,3,1,2
14,2,1,2,3,2,1
14,2,1,2,3,2,2
14,2,1,2,3,3,1
14,2,1,2,3,3,2
14,2,1,2,3,4,1
14,2,1,2,3,4,2
14,2,1,2,3,5,1
14,2,1,2,3,5,2
14,2,1,3,1,1,1
14,2,1,3,1,1,2
14,2,1,3,1,2,1
14,2,1,3,1,2,2
14,2,1,3,1,3,1
14,2,1,3,1,3,2
14,2,1,3,1,4,1
14,2,1,3,1,4,2
14,2,1,3,1,5,1
14,2,1,3,1,5,2
14,2,1,3,2,1,1
14,2,1,3,2,1,2
14,2,1,3,2,2,1
14,2,1,3,2,2,2
14,2,1,3,2,3,1
14,2,1,3,2,3,2
14,2,1,3,2,4,1
14,2,1,3,2,4,2
14,2,1,3,2,5,1
14,2,1,3,2,5,2
14,2,1,3,3,1,1
14,2,1,3,3,1,2
14,2,1,3,3,2,1
14,2,1,3,3,2,2
14,2,1,3,3,3,1
14,2,1,3,3,3,2
14,2,1,3,3,4,1
14,2,1,3,3,4,2
14,2,1,3,3,5,1
14,2,1,3,3,5,2
14,2,2,1,1,1,1
14,2,2,1,1,1,2
14,2,2,1,1,2,1
14,2,2,1,1,2,2
14,2,2,1,1,3,1
14,2,2,1,1,3,2
14,2,2,1,1,4,1
14,2,2,1,1,4,2
14,2,2,1,1,5,1
14,2,2,1,1,5,2
14,2,2,1,2,1,1
14,2,2,1,2,1,2
14,2,2,1,2,2,1
14,2,2,1,2,2,2
14,2,2,1,2,3,1
14,2,2,1,2,3,2
14,2,2,1,2,4,1
14,2,2,1,2,4,2
14,2,2,1,2,5,1
14,2,2,1,2,5,2
14,2,2,1,3,1,1
14,2,2,1,3,1,2
14,2,2,1,3,2,1
14,2,2,1,3,2,2
14,2,2,1,3,3,1
14,2,2,1,3,3,2
14,2,2,1,3,4,1
14,2,2,1,3,4,2
14,2,2,1,3,5,1
14,2,2,1,3,5,2
14,2,2,2,1,1,1
14,2,2,2,1,1,2
14,2,2,2,1,2,1
14,2,2,2,1,2,2
14,2,2,2,1,3,1
14,2,2,2,1,3,2
14,2,2,2,1,4,1
14,2,2,2,1,4,2
14,2,2,2,1,5,1
14,2,2,2,1,5,2
14,2,2,2,2,1,1
14,2,2,2,2,1,2
14,2,2,2,2,2,1
14,2,2,2,2,2,2
14,2,2,2,2,3,1
14,2,2,2,2,3,2
14,2,2,2,2,4,1
14,2,2,2,2,4,2
14,2,2,2,2,5,1
14,2,2,2,2,5,2
14,2,2,2,3,1,1
14,2,2,2,3,1,2
14,2,2,2,3,2,1
14,2,2,2,3,2,2
14,2,2,2,3,3,1
14,2,2,2,3,3,2
14,2,2,2,3,4,1
14,2,2,2,3,4,2
14,2,2,2,3,5,1
14,2,2,2,3,5,2
14,2,2,3,1,1,1
14,2,2,3,1,1,2
14,2,2,3,1,2,1
14,2,2,3,1,2,2
14,2,2,3,1,3,1
14,2,2,3,1,3,2
14,2,2,3,1,4,1
14,2,2,3,1,4,2
14,2,2,3,1,5,1
14,2,2,3,1,5,2
14,2,2,3,2,1,1
14,2,2,3,2,1,2
14,2,2,3,2,2,1
14,2,2,3,2,2,2
14,2,2,3,2,3,1
14,2,2,3,2,3,2
14,2,2,3,2,4,1
14,2,2,3,2,4,2
14,2,2,3,2,5,1
14,2,2,3,2,5,2
14,2,2,3,3,1,1
14,2,2,3,3,1,2
14,2,2,3,3,2,1
14,2,2,3,3,2,2
14,2,2,3,3,3,1
14,2,2,3,3,3,2
14,2,2,3,3,4,1
14,2,2,3,3,4,2
14,2,2,3,3,5,1
14,2,2,3,3,5,2
14,2,3,1,1,1,1
14,2,3,1,1,1,2
14,2,3,1,1,2,1
14,2,3,1,1,2,2
14,2,3,1,1,3,1
14,2,3,1,1,3,2
14,2,3,1,1,4,1
14,2,3,1,1,4,2
14,2,3,1,1,5,1
14,2,3,1,1,5,2
14,2,3,1,2,1,1
14,2,3,1,2,1,2
14,2,3,1,2,2,1
14,2,3,1,2,2,2
14,2,3,1,2,3,1
14,2,3,1,2,3,2
14,2,3,1,2,4,1
14,2,3,1,2,4,2
14,2,3,1,2,5,1
14,2,3,1,2,5,2
14,2,3,1,3,1,1
14,2,3,1,3,1,2
14,2,3,1,3,2,1
14,2,3,1,3,2,2
14,2,3,1,3,3,1
14,2,3,1,3,3,2
14,2,3,1,3,4,1
14,2,3,1,3,4,2
14,2,3,1,3,5,1
14,2,3,1,3,5,2
14,2,3,2,1,1,1
14,2,3,2,1,1,2
14,2,3,2,1,2,1
14,2,3,2,1,2,2
14,2,3,2,1,3,1
14,2,3,2,1,3,2
14,2,3,2,1,4,1
14,2,3,2,1,4,2
14,2,3,2,1,5,1
14,2,3,2,1,5,2
14,2,3,2,2,1,1
14,2,3,2,2,1,2
14,2,3,2,2,2,1
14,2,3,2,2,2,2
14,2,3,2,2,3,1
14,2,3,2,2,3,2
14,2,3,2,2,4,1
14,2,3,2,2,4,2
14,2,3,2,2,5,1
14,2,3,2,2,5,2
14,2,3,2,3,1,1
14,2,3,2,3,1,2
14,2,3,2,3,2,1
14,2,3,2,3,2,2
14,2,3,2,3,3,1
14,2,3,2,3,3,2
14,2,3,2,3,4,1
14,2,3,2,3,4,2
14,2,3,2,3,5,1
14,2,3,2,3,5,2
14,2,3,3,1,1,1
14,2,3,3,1,1,2
14,2,3,3,1,2,1
14,2,3,3,1,2,2
14,2,3,3,1,3,1
14,2,3,3,1,3,2
14,2,3,3,1,4,1
14,2,3,3,1,4,2
14,2,3,3,1,5,1
14,2,3,3,1,5,2
14,2,3,3,2,1,1
14,2,3,3,2,1,2
14,2,3,3,2,2,1
14,2,3,3,2,2,2
14,2,3,3,2,3,1
14,2,3,3,2,3,2
14,2,3,3,2,4,1
14,2,3,3,2,4,2
14,2,3,3,2,5,1
14,2,3,3,2,5,2
14,2,3,3,3,1,1
14,2,3,3,3,1,2
14,2,3,3,3,2,1
14,2,3,3,3,2,2
14,2,3,3,3,3,1
14,2,3,3,3,3,2
14,2,3,3,3,4,1
14,2,3,3,3,4,2
14,2,3,3,3,5,1
14,2,3,3,3,5,2
14,2,5,1,1,1,1
14,2,5,1,1,1,2
14,2,5,1,1,2,1
14,2,5,1,1,2,2
14,2,5,1,1,3,1
14,2,5,1,1,3,2
14,2,5,1,1,4,1
14,2,5,1,1,4,2
14,2,5,1,1,5,1
14,2,5,1,1,5,2
14,2,5,1,2,1,1
14,2,5,1,2,1,2
14,2,5,1,2,2,1
14,2,5,1,2,2,2
14,2,5,1,2,3,1
14,2,5,1,2,3,2
14,2,5,1,2,4,1
14,2,5,1,2,4,2
14,2,5,1,2,5,1
14,2,5,1,2,5,2
14,2,5,1,3,1,1
14,2,5,1,3,1,2
14,2,5,1,3,2,1
14,2,5,1,3,2,2
14,2,5,1,3,3,1
14,2,5,1,3,3,2
14,2,5,1,3,4,1
14,2,5,1,3,4,2
14,2,5,1,3,5,1
14,2,5,1,3,5,2
14,2,5,2,1,1,1
14,2,5,2,1,1,2
14,2,5,2,1,2,1
14,2,5,2,1,2,2
14,2,5,2,1,3,1
14,2,5,2,1,3,2
14,2,5,2,1,4,1
14,2,5,2,1,4,2
14,2,5,2,1,5,1
14,2,5,2,1,5,2
14,2,5,2,2,1,1
14,2,5,2,2,1,2
14,2,5,2,2,2,1
14,2,5,2,2,2,2
14,2,5,2,2,3,1
14,2,5,2,2,3,2
14,2,5,2,2,4,1
14,2,5,2,2,4,2
14,2,5,2,2,5,1
14,2,5,2,2,5,2
14,2,5,2,3,1,1
14,2,5,2,3,1,2
14,2,5,2,3,2,1
14,2,5,2,3,2,2
14,2,5,2,3,3,1
14,2,5,2,3,3,2
14,2,5,2,3,4,1
14,2,5,2,3,4,2
14,2,5,2,3,5,1
14,2,5,2,3,5,2
14,2,5,3,1,1,1
14,2,5,3,1,1,2
14,2,5,3,1,2,1
14,2,5,3,1,2,2
14,2,5,3,1,3,1
14,2,5,3,1,3,2
14,2,5,3,1,4,1
14,2,5,3,1,4,2
14,2,5,3,1,5,1
14,2,5,3,1,5,2
14,2,5,3,2,1,1
14,2,5,3,2,1,2
14,2,5,3,2,2,1
14,2,5,3,2,2,2
14,2,5,3,2,3,1
14,2,5,3,2,3,2
14,2,5,3,2,4,1
14,2,5,3,2,4,2
14,2,5,3,2,5,1
14,2,5,3,2,5,2
14,2,5,3,3,1,1
14,2,5,3,3,1,2
14,2,5,3,3,2,1
14,2,5,3,3,2,2
14,2,5,3,3,3,1
14,2,5,3,3,3,2
14,2,5,3,3,4,1
14,2,5,3,3,4,2
14,2,5,3,3,5,1
14,2,5,3,3,5,2
14,2,6,1,1,1,1
14,2,6,1,1,1,2
14,2,6,1,1,2,1
14,2,6,1,1,2,2
14,2,6,1,1,3,1
14,2,6,1,1,3,2
14,2,6,1,1,4,1
14,2,6,1,1,4,2
14,2,6,1,1,5,1
14,2,6,1,1,5,2
14,2,6,1,2,1,1
14,2,6,1,2,1,2
14,2,6,1,2,2,1
14,2,6,1,2,2,2
14,2,6,1,2,3,1
14,2,6,1,2,3,2
14,2,6,1,2,4,1
14,2,6,1,2,4,2
14,2,6,1,2,5,1
14,2,6,1,2,5,2
14,2,6,1,3,1,1
14,2,6,1,3,1,2
14,2,6,1,3,2,1
14,2,6,1,3,2,2
14,2,6,1,3,3,1
14,2,6,1,3,3,2
14,2,6,1,3,4,1
14,2,6,1,3,4,2
14,2,6,1,3,5,1
14,2,6,1,3,5,2
14,2,6,2,1,1,1
14,2,6,2,1,1,2
14,2,6,2,1,2,1
14,2,6,2,1,2,2
14,2,6,2,1,3,1
14,2,6,2,1,3,2
14,2,6,2,1,4,1
14,2,6,2,1,4,2
14,2,6,2,1,5,1
14,2,6,2,1,5,2
14,2,6,2,2,1,1
14,2,6,2,2,1,2
14,2,6,2,2,2,1
14,2,6,2,2,2,2
14,2,6,2,2,3,1
14,2,6,2,2,3,2
14,2,6,2,2,4,1
14,2,6,2,2,4,2
14,2,6,2,2,5,1
14,2,6,2,2,5,2
14,2,6,2,3,1,1
14,2,6,2,3,1,2
14,2,6,2,3,2,1
14,2,6,2,3,2,2
14,2,6,2,3,3,1
14,2,6,2,3,3,2
14,2,6,2,3,4,1
14,2,6,2,3,4,2
14,2,6,2,3,5,1
14,2,6,2,3,5,2
14,2,6,3,1,1,1
14,2,6,3,1,1,2
14,2,6,3,1,2,1
14,2,6,3,1,2,2
14,2,6,3,1,3,1
14,2,6,3,1,3,2
14,2,6,3,1,4,1
14,2,6,3,1,4,2
14,2,6,3,1,5,1
14,2,6,3,1,5,2
14,2,6,3,2,1,1
14,2,6,3,2,1,2
14,2,6,3,2,2,1
14,2,6,3,2,2,2
14,2,6,3,2,3,1
14,2,6,3,2,3,2
14,2,6,3,2,4,1
14,2,6,3,2,4,2
14,2,6,3,2,5,1
14,2,6,3,2,5,2
14,2,6,3,3,1,1
14,2,6,3,3,1,2
14,2,6,3,3,2,1
14,2,6,3,3,2,2
14,2,6,3,3,3,1
14,2,6,3,3,3,2
14,2,6,3,3,4,1
14,2,6,3,3,4,2
14,2,6,3,3,5,1
14,2,6,3,3,5,2
14,3,1,1,1,1,1
14,3,1,1,1,1,2
14,3,1,1,1,2,1
14,3,1,1,1,2,2
14,3,1,1,1,3,1
14,3,1,1,1,3,2
14,3,1,1,1,4,1
14,3,1,1,1,4,2
14,3,1,1,1,5,1
14,3,1,1,1,5,2
14,3,1,1,2,1,1
14,3,1,1,2,1,2
14,3,1,1,2,2,1
14,3,1,1,2,2,2
14,3,1,1,2,3,1
14,3,1,1,2,3,2
14,3,1,1,2,4,1
14,3,1,1,2,4,2
14,3,1,1,2,5,1
14,3,1,1,2,5,2
14,3,1,1,3,1,1
14,3,1,1,3,1,2
14,3,1,1,3,2,1
14,3,1,1,3,2,2
14,3,1,1,3,3,1
14,3,1,1,3,3,2
14,3,1,1,3,4,1
14,3,1,1,3,4,2
14,3,1,1,3,5,1
14,3,1,1,3,5,2
14,3,1,2,1,1,1
14,3,1,2,1,1,2
14,3,1,2,1,2,1
14,3,1,2,1,2,2
14,3,1,2,1,3,1
14,3,1,2,1,3,2
14,3,1,2,1,4,1
14,3,1,2,1,4,2
14,3,1,2,1,5,1
14,3,1,2,1,5,2
14,3,1,2,2,1,1
14,3,1,2,2,1,2
14,3,1,2,2,2,1
14,3,1,2,2,2,2
14,3,1,2,2,3,1
14,3,1,2,2,3,2
14,3,1,2,2,4,1
14,3,1,2,2,4,2
14,3,1,2,2,5,1
14,3,1,2,2,5,2
14,3,1,2,3,1,1
14,3,1,2,3,1,2
14,3,1,2,3,2,1
14,3,1,2,3,2,2
14,3,1,2,3,3,1
14,3,1,2,3,3,2
14,3,1,2,3,4,1
14,3,1,2,3,4,2
14,3,1,2,3,5,1
14,3,1,2,3,5,2
14,3,1,3,1,1,1
14,3,1,3,1,1,2
14,3,1,3,1,2,1
14,3,1,3,1,2,2
14,3,1,3,1,3,1
14,3,1,3,1,3,2
14,3,1,3,1,4,1
14,3,1,3,1,4,2
14,3,1,3,1,5,1
14,3,1,3,1,5,2
14,3,1,3,2,1,1
14,3,1,3,2,1,2
14,3,1,3,2,2,1
14,3,1,3,2,2,2
14,3,1,3,2,3,1
14,3,1,3,2,3,2
14,3,1,3,2,4,1
14,3,1,3,2,4,2
14,3,1,3,2,5,1
14,3,1,3,2,5,2
14,3,1,3,3,1,1
14,3,1,3,3,1,2
14,3,1,3,3,2,1
14,3,1,3,3,2,2
14,3,1,3,3,3,1
14,3,1,3,3,3,2
14,3,1,3,3,4,1
14,3,1,3,3,4,2
14,3,1,3,3,5,1
14,3,1,3,3,5,2
14,3,2,1,1,1,1
14,3,2,1,1,1,2
14,3,2,1,1,2,1
14,3,2,1,1,2,2
14,3,2,1,1,3,1
14,3,2,1,1,3,2
14,3,2,1,1,4,1
14,3,2,1,1,4,2
14,3,2,1,1,5,1
14,3,2,1,1,5,2
14,3,2,1,2,1,1
14,3,2,1,2,1,2
14,3,2,1,2,2,1
14,3,2,1,2,2,2
14,3,2,1,2,3,1
14,3,2,1,2,3,2
14,3,2,1,2,4,1
14,3,2,1,2,4,2
14,3,2,1,2,5,1
14,3,2,1,2,5,2
14,3,2,1,3,1,1
14,3,2,1,3,1,2
14,3,2,1,3,2,1
14,3,2,1,3,2,2
14,3,2,1,3,3,1
14,3,2,1,3,3,2
14,3,2,1,3,4,1
14,3,2,1,3,4,2
14,3,2,1,3,5,1
14,3,2,1,3,5,2
14,3,2,2,1,1,1
14,3,2,2,1,1,2
14,3,2,2,1,2,1
14,3,2,2,1,2,2
14,3,2,2,1,3,1
14,3,2,2,1,3,2
14,3,2,2,1,4,1
14,3,2,2,1,4,2
14,3,2,2,1,5,1
14,3,2,2,1,5,2
14,3,2,2,2,1,1
14,3,2,2,2,1,2
14,3,2,2,2,2,1
14,3,2,2,2,2,2
14,3,2,2,2,3,1
14,3,2,2,2,3,2
14,3,2,2,2,4,1
14,3,2,2,2,4,2
14,3,2,2,2,5,1
14,3,2,2,2,5,2
14,3,2,2,3,1,1
14,3,2,2,3,1,2
14,3,2,2,3,2,1
14,3,2,2,3,2,2
14,3,2,2,3,3,1
14,3,2,2,3,3,2
14,3,2,2,3,4,1
14,3,2,2,3,4,2
14,3,2,2,3,5,1
14,3,2,2,3,5,2
14,3,2,3,1,1,1
14,3,2,3,1,1,2
14,3,2,3,1,2,1
14,3,2,3,1,2,2
14,3,2,3,1,3,1
14,3,2,3,1,3,2
14,3,2,3,1,4,1
14,3,2,3,1,4,2
14,3,2,3,1,5,1
14,3,2,3,1,5,2
14,3,2,3,2,1,1
14,3,2,3,2,1,2
14,3,2,3,2,2,1
14,3,2,3,2,2,2
14,3,2,3,2,3,1
14,3,2,3,2,3,2
14,3,2,3,2,4,1
14,3,2,3,2,4,2
14,3,2,3,2,5,1
14,3,2,3,2,5,2
14,3,2,3,3,1,1
14,3,2,3,3,1,2
14,3,2,3,3,2,1
14,3,2,3,3,2,2
14,3,2,3,3,3,1
14,3,2,3,3,3,2
14,3,2,3,3,4,1
14,3,2,3,3,4,2
14,3,2,3,3,5,1
14,3,2,3,3,5,2
14,3,3,1,1,1,1
14,3,3,1,1,1,2
14,3,3,1,1,2,1
14,3,3,1,1,2,2
14,3,3,1,1,3,1
14,3,3,1,1,3,2
14,3,3,1,1,4,1
14,3,3,1,1,4,2
14,3,3,1,1,5,1
14,3,3,1,1,5,2
14,3,3,1,2,1,1
14,3,3,1,2,1,2
14,3,3,1,2,2,1
14,3,3,1,2,2,2
14,3,3,1,2,3,1
14,3,3,1,2,3,2
14,3,3,1,2,4,1
14,3,3,1,2,4,2
14,3,3,1,2,5,1
14,3,3,1,2,5,2
14,3,3,1,3,1,1
14,3,3,1,3,1,2
14,3,3,1,3,2,1
14,3,3,1,3,2,2
14,3,3,1,3,3,1
14,3,3,1,3,3,2
14,3,3,1,3,4,1
14,3,3,1,3,4,2
14,3,3,1,3,5,1
14,3,3,1,3,5,2
14,3,3,2,1,1,1
14,3,3,2,1,1,2
14,3,3,2,1,2,1
14,3,3,2,1,2,2
14,3,3,2,1,3,1
14,3,3,2,1,3,2
14,3,3,2,1,4,1
14,3,3,2,1,4,2
14,3,3,2,1,5,1
14,3,3,2,1,5,2
14,3,3,2,2,1,1
14,3,3,2,2,1,2
14,3,3,2,2,2,1
14,3,3,2,2,2,2
14,3,3,2,2,3,1
14,3,3,2,2,3,2
14,3,3,2,2,4,1
14,3,3,2,2,4,2
14,3,3,2,2,5,1
14,3,3,2,2,5,2
14,3,3,2,3,1,1
14,3,3,2,3,1,2
14,3,3,2,3,2,1
14,3,3,2,3,2,2
14,3,3,2,3,3,1
14,3,3,2,3,3,2
14,3,3,2,3,4,1
14,3,3,2,3,4,2
14,3,3,2,3,5,1
14,3,3,2,3,5,2
14,3,3,3,1,1,1
14,3,3,3,1,1,2
14,3,3,3,1,2,1
14,3,3,3,1,2,2
14,3,3,3,1,3,1
14,3,3,3,1,3,2
14,3,3,3,1,4,1
14,3,3,3,1,4,2
14,3,3,3,1,5,1
14,3,3,3,1,5,2
14,3,3,3,2,1,1
14,3,3,3,2,1,2
14,3,3,3,2,2,1
14,3,3,3,2,2,2
14,3,3,3,2,3,1
14,3,3,3,2,3,2
14,3,3,3,2,4,1
14,3,3,3,2,4,2
14,3,3,3,2,5,1
14,3,3,3,2,5,2
14,3,3,3,3,1,1
14,3,3,3,3,1,2
14,3,3,3,3,2,1
14,3,3,3,3,2,2
14,3,3,3,3,3,1
14,3,3,3,3,3,2
14,3,3,3,3,4,1
14,3,3,3,3,4,2
14,3,3,3,3,5,1
14,3,3,3,3,5,2
14,3,5,1,1,1,1
14,3,5,1,1,1,2
14,3,5,1,1,2,1
14,3,5,1,1,2,2
14,3,5,1,1,3,1
14,3,5,1,1,3,2
14,3,5,1,1,4,1
14,3,5,1,1,4,2
14,3,5,1,1,5,1
14,3,5,1,1,5,2
14,3,5,1,2,1,1
14,3,5,1,2,1,2
14,3,5,1,2,2,1
14,3,5,1,2,2,2
14,3,5,1,2,3,1
14,3,5,1,2,3,2
14,3,5,1,2,4,1
14,3,5,1,2,4,2
14,3,5,1,2,5,1
14,3,5,1,2,5,2
14,3,5,1,3,1,1
14,3,5,1,3,1,2
14,3,5,1,3,2,1
14,3,5,1,3,2,2
14,3,5,1,3,3,1
14,3,5,1,3,3,2
14,3,5,1,3,4,1
14,3,5,1,3,4,2
14,3,5,1,3,5,1
14,3,5,1,3,5,2
14,3,5,2,1,1,1
14,3,5,2,1,1,2
14,3,5,2,1,2,1
14,3,5,2,1,2,2
14,3,5,2,1,3,1
14,3,5,2,1,3,2
14,3,5,2,1,4,1
14,3,5,2,1,4,2
14,3,5,2,1,5,1
14,3,5,2,1,5,2
14,3,5,2,2,1,1
14,3,5,2,2,1,2
14,3,5,2,2,2,1
14,3,5,2,2,2,2
14,3,5,2,2,3,1
14,3,5,2,2,3,2
14,3,5,2,2,4,1
14,3,5,2,2,4,2
14,3,5,2,2,5,1
14,3,5,2,2,5,2
14,3,5,2,3,1,1
14,3,5,2,3,1,2
14,3,5,2,3,2,1
14,3,5,2,3,2,2
14,3,5,2,3,3,1
14,3,5,2,3,3,2
14,3,5,2,3,4,1
14,3,5,2,3,4,2
14,3,5,2,3,5,1
14,3,5,2,3,5,2
14,3,5,3,1,1,1
14,3,5,3,1,1,2
14,3,5,3,1,2,1
14,3,5,3,1,2,2
14,3,5,3,1,3,1
14,3,5,3,1,3,2
14,3,5,3,1,4,1
14,3,5,3,1,4,2
14,3,5,3,1,5,1
14,3,5,3,1,5,2
14,3,5,3,2,1,1
14,3,5,3,2,1,2
14,3,5,3,2,2,1
14,3,5,3,2,2,2
14,3,5,3,2,3,1
14,3,5,3,2,3,2
14,3,5,3,2,4,1
14,3,5,3,2,4,2
14,3,5,3,2,5,1
14,3,5,3,2,5,2
14,3,5,3,3,1,1
14,3,5,3,3,1,2
14,3,5,3,3,2,1
14,3,5,3,3,2,2
14,3,5,3,3,3,1
14,3,5,3,3,3,2
14,3,5,3,3,4,1
14,3,5,3,3,4,2
14,3,5,3,3,5,1
14,3,5,3,3,5,2
14,3,6,1,1,1,1
14,3,6,1,1,1,2
14,3,6,1,1,2,1
14,3,6,1,1,2,2
14,3,6,1,1,3,1
14,3,6,1,1,3,2
14,3,6,1,1,4,1
14,3,6,1,1,4,2
14,3,6,1,1,5,1
14,3,6,1,1,5,2
14,3,6,1,2,1,1
14,3,6,1,2,1,2
14,3,6,1,2,2,1
14,3,6,1,2,2,2
14,3,6,1,2,3,1
14,3,6,1,2,3,2
14,3,6,1,2,4,1
14,3,6,1,2,4,2
14,3,6,1,2,5,1
14,3,6,1,2,5,2
14,3,6,1,3,1,1
14,3,6,1,3,1,2
14,3,6,1,3,2,1
14,3,6,1,3,2,2
14,3,6,1,3,3,1
14,3,6,1,3,3,2
